Subject,Type,Project,Parent,Priority,Status,Start date,Due date,Assignee,Estimated time,Labels,Version,Story Points,Risk Level,Definition of Ready,Definition of Done,Acceptance Criteria,Success Metrics,External Dependencies,Rollback Plan,Description,% Complete,Role,AI Agent Instructions
DB Migration: Invoice,Task,Psitrix Psynq,Feature: Invoices Module,High,New,2026-06-14,2026-06-15,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/migrations/CreateInvoiceTable.ts`
**Requirements:**
- Up method (create table)
- Down method (drop table)
- Indexes and constraints",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'DB Migration: Invoice'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Seed Data: Invoice,Task,Psitrix Psynq,Feature: Invoices Module,Low,New,2026-06-16,2026-06-17,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/seeds/invoice.seed.ts`
**Requirements:**
- Create default/test data
- Handle relationships",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Seed Data: Invoice'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Feature: ApiKeys Module,Feature,Psitrix Psynq,Epic: Backend Modules Implementation,Normal,New,2026-06-14,2026-06-24,Developer,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,ApiKeys Implementation,0,Product Owner / Architect,"Act as a Solution Architect. Define the technical specifications and sub-tasks for 'Feature: ApiKeys Module'. Ensure alignment with the CCaaS platform goals (reliability, scalability, low latency)."
Define Entity: ApiKey,Task,Psitrix Psynq,Feature: ApiKeys Module,High,New,2026-06-14,2026-06-16,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/auth/entities/apikey.entity.ts`
**Class:** `ApiKey`
**Type:** TypeORM Entity
**Requirements:**
- Define columns with exact types (varchar, int, jsonb)
- Define relationships (OneToMany, ManyToOne)
- Add indexes for performance
- NO MOCKS: Use real DB connection",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Define Entity: ApiKey'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Create DTOs: ApiKey,Task,Psitrix Psynq,Feature: ApiKeys Module,Normal,New,2026-06-14,2026-06-15,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/auth/dto/create-apikey.dto.ts`
**File:** `packages/backend/src/modules/auth/dto/update-apikey.dto.ts`
**Requirements:**
- Use class-validator decorators (@IsString, @IsInt)
- Use class-transformer
- Strict typing",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Create DTOs: ApiKey'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Service: ApiKeyService,Task,Psitrix Psynq,Feature: ApiKeys Module,High,New,2026-06-15,2026-06-18,Developer,4h,Backend,v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/auth/apikey.service.ts`
**Class:** `ApiKeyService`
**Methods:**
- `create(dto)`
- `findAll(query)`
- `findOne(id)`
- `update(id, dto)`
- `remove(id)`
**Logic:** Business logic implementation. NO STUBS.",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Service: ApiKeyService'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Controller: ApiKeyController,Task,Psitrix Psynq,Feature: ApiKeys Module,High,New,2026-06-16,2026-06-18,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/auth/apikey.controller.ts`
**Class:** `ApiKeyController`
**Endpoints:**
- `POST /api/v1/apikeys`
- `GET /api/v1/apikeys`
- `GET /api/v1/apikeys/:id`
- `PATCH /api/v1/apikeys/:id`
- `DELETE /api/v1/apikeys/:id`
**Requirements:** Swagger docs (@ApiTags), Auth guards",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Controller: ApiKeyController'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Unit Tests: ApiKeyService,Task,Psitrix Psynq,Feature: ApiKeys Module,Normal,New,2026-06-17,2026-06-19,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/auth/apikey.service.spec.ts`
**Requirements:**
- 100% coverage for service methods
- Test success and error cases
- Mock repository only (unit test)",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Unit Tests: ApiKeyService'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Integration Tests: ApiKey,Task,Psitrix Psynq,Feature: ApiKeys Module,Normal,New,2026-06-18,2026-06-20,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `test/apikey.integration-spec.ts`
**Requirements:**
- Test database interactions
- Test service integration
- Test event emission",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Integration Tests: ApiKey'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Swagger Docs: ApiKey,Task,Psitrix Psynq,Feature: ApiKeys Module,Low,New,2026-06-15,2026-06-16,Developer,4h,"Backend,Docs",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/auth/apikey.controller.ts`
**Requirements:**
- Add @ApiOperation
- Add @ApiResponse
- Add @ApiProperty to DTOs",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Swagger Docs: ApiKey'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
DB Migration: ApiKey,Task,Psitrix Psynq,Feature: ApiKeys Module,High,New,2026-06-14,2026-06-15,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/migrations/CreateApiKeyTable.ts`
**Requirements:**
- Up method (create table)
- Down method (drop table)
- Indexes and constraints",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'DB Migration: ApiKey'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Seed Data: ApiKey,Task,Psitrix Psynq,Feature: ApiKeys Module,Low,New,2026-06-16,2026-06-17,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/seeds/apikey.seed.ts`
**Requirements:**
- Create default/test data
- Handle relationships",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Seed Data: ApiKey'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Feature: Notifications Module,Feature,Psitrix Psynq,Epic: Backend Modules Implementation,Normal,New,2026-06-14,2026-06-24,Developer,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,Notifications Implementation,0,Product Owner / Architect,"Act as a Solution Architect. Define the technical specifications and sub-tasks for 'Feature: Notifications Module'. Ensure alignment with the CCaaS platform goals (reliability, scalability, low latency)."
Define Entity: Notification,Task,Psitrix Psynq,Feature: Notifications Module,High,New,2026-06-14,2026-06-16,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/notifications/entities/notification.entity.ts`
**Class:** `Notification`
**Type:** TypeORM Entity
**Requirements:**
- Define columns with exact types (varchar, int, jsonb)
- Define relationships (OneToMany, ManyToOne)
- Add indexes for performance
- NO MOCKS: Use real DB connection",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Define Entity: Notification'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Create DTOs: Notification,Task,Psitrix Psynq,Feature: Notifications Module,Normal,New,2026-06-14,2026-06-15,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/notifications/dto/create-notification.dto.ts`
**File:** `packages/backend/src/modules/notifications/dto/update-notification.dto.ts`
**Requirements:**
- Use class-validator decorators (@IsString, @IsInt)
- Use class-transformer
- Strict typing",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Create DTOs: Notification'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Service: NotificationService,Task,Psitrix Psynq,Feature: Notifications Module,High,New,2026-06-15,2026-06-18,Developer,4h,Backend,v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/notifications/notification.service.ts`
**Class:** `NotificationService`
**Methods:**
- `create(dto)`
- `findAll(query)`
- `findOne(id)`
- `update(id, dto)`
- `remove(id)`
**Logic:** Business logic implementation. NO STUBS.",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Service: NotificationService'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Controller: NotificationController,Task,Psitrix Psynq,Feature: Notifications Module,High,New,2026-06-16,2026-06-18,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/notifications/notification.controller.ts`
**Class:** `NotificationController`
**Endpoints:**
- `POST /api/v1/notifications`
- `GET /api/v1/notifications`
- `GET /api/v1/notifications/:id`
- `PATCH /api/v1/notifications/:id`
- `DELETE /api/v1/notifications/:id`
**Requirements:** Swagger docs (@ApiTags), Auth guards",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Controller: NotificationController'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Unit Tests: NotificationService,Task,Psitrix Psynq,Feature: Notifications Module,Normal,New,2026-06-17,2026-06-19,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/notifications/notification.service.spec.ts`
**Requirements:**
- 100% coverage for service methods
- Test success and error cases
- Mock repository only (unit test)",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Unit Tests: NotificationService'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Integration Tests: Notification,Task,Psitrix Psynq,Feature: Notifications Module,Normal,New,2026-06-18,2026-06-20,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `test/notification.integration-spec.ts`
**Requirements:**
- Test database interactions
- Test service integration
- Test event emission",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Integration Tests: Notification'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
